,p,checkpoint,train_error,Demographic_Parity,Equal_Opportunity,Equal_Odds,Overall_accuracy
221,0.55,1000.0,0.16706507304116866,0.21047764561535695,0.3239000805985887,0.4151080955384971,0.10748185271060495
222,0.55,500.0,0.18818061088977422,0.33674530503772443,0.6680154982346568,0.8513896582974623,0.11223698784392933
223,0.55,1000.0,0.17649402390438246,0.25399868423087596,0.35124019579002325,0.48728537317521414,0.12630962345882712
224,0.55,500.0,0.17675962815405047,0.1566328522520295,0.14725150815325272,0.2129413749957077,0.12005778439796788
225,0.55,1000.0,0.16945551128818062,0.16863821747043475,0.10543734873484212,0.1815077458685277,0.12130085865198637
226,0.55,500.0,0.17377158034528553,0.17946652356101117,0.1291628085780661,0.21776966002173803,0.13012343625040024
227,0.55,1000.0,0.17118193891102257,0.22093391203852525,0.25970053425839873,0.3703846297693464,0.12174854190519258
228,0.55,500.0,0.17861885790172644,0.2115314805194899,0.27808455254645265,0.3846198971665281,0.12704652156751883
229,0.55,1000.0,0.17177954847277557,0.1922415236507765,0.15845705397592097,0.2520693096514132,0.12263550356873842
230,0.55,500.0,0.17569721115537848,0.24190120674888424,0.3991452322593138,0.5184214270507985,0.11697049906171664
231,0.55,1000.0,0.16826029216467464,0.20120182834017128,0.19647719619730036,0.2941882509848308,0.12284995744722338
232,0.55,500.0,0.17463479415670652,0.1990902269108987,0.2387688922577944,0.3357942572728796,0.12626902345414526
233,0.55,1000.0,0.1699203187250996,0.16837618295405193,0.0952794132011463,0.16939264457516368,0.11534467347897559
234,0.55,500.0,0.17589641434262948,0.22781623467011325,0.35235292471200713,0.46173814286624043,0.11424522374744817
235,0.55,1000.0,0.1702523240371846,0.21718699698193927,0.2781536696920174,0.3822141068867675,0.1164416157991468
236,0.55,500.0,0.17423638778220452,0.21337874061393186,0.3471708524428912,0.44337601187166314,0.11147934842849794
237,0.55,1000.0,0.17410358565737052,0.22855760600066463,0.35183026199967904,0.4614255136176709,0.11460526795892756
238,0.55,500.0,0.1752324037184595,0.17679919953801046,0.12818545786681645,0.21516015788081866,0.13017691431980816
239,0.55,1000.0,0.1702523240371846,0.17599255527503083,0.18206769938725648,0.26150086076060797,0.12490021756507452
